volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
1785107.95001,BTCETH,6015.53557014,297.484264029,2603,BTC,ETH
6587974.76198,BTCEUR,1666.70146396,3969.4959102,5633,BTC,EUR
208633.359105,BTCLTC,3684.92302953,56.4906366342,469,BTC,LTC
29745156.5554,BTCUSD,7511.5126982,3949.93933423,11115,BTC,USD
277314.779983,BTCXRP,1418220.88274,0.195372560401,657,BTC,XRP
2482569.28251,ETHBTC,8343.82787782,297.462776681,3284,ETH,BTC
3266118.65214,ETHEUR,11105.5820656,291.83482487,5465,ETH,EUR
5204078.14743,ETHUSD,18189.0964319,285.404054944,7899,ETH,USD
6147027.70012,EURBTC,1530.60339965,4006.06905096,8432,EUR,BTC
6638912.38015,EURETH,23297.5156704,288.18534587,8475,EUR,ETH
821695.524028,EURLTC,14829.5595953,55.3952386465,3012,EUR,LTC
804965.51846,EURUSD,679854.08975,1.18401576398,1610,EUR,USD
547839.294841,EURXRP,2855291.52754,0.191721306706,1403,EUR,XRP
322506.825599,LTCBTC,5721.80334952,56.4036964792,521,LTC,BTC
831400.083307,LTCEUR,14993.0370425,55.2403389277,2003,LTC,EUR
2419164.84577,LTCUSD,44185.8364268,54.3592002387,3351,LTC,USD
38244808.2696,USDBTC,9696.06558502,3937.4403415,15666,USD,BTC
8472685.27414,USDETH,29829.8127621,284.283911011,11125,USD,ETH
1389293.33779,USDEUR,1170943.65954,1.18602731667,2441,USD,EUR
2226333.89497,USDLTC,40539.4509952,54.624516129,4030,USD,LTC
1236635.40892,USDXRP,6502863.95219,0.190323056708,2169,USD,XRP
414861.681071,XRPBTC,2132497.64737,0.194835738586,825,XRP,BTC
523984.393664,XRPEUR,2735245.68676,0.191426429035,1068,XRP,EUR
1548601.32015,XRPUSD,8186479.55958,0.189114734423,1958,XRP,USD
