volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
747749.722272,BTCETH,2872.47188581,260.280750232,1544,BTC,ETH
2947223.01699,BTCEUR,809.09969472,3639.15627243,2560,BTC,EUR
148837.33057,BTCLTC,3176.30822082,46.7410292452,291,BTC,LTC
25926161.3155,BTCUSD,7177.78892981,3613.49578192,7878,BTC,USD
192627.945452,BTCXRP,1126353.66525,0.171152908274,516,BTC,XRP
692592.256456,ETHBTC,2664.42928691,259.976708771,1312,ETH,BTC
2006109.27888,ETHEUR,7581.18789301,263.75264517,3183,ETH,EUR
2003731.15913,ETHUSD,7658.53896549,261.589442857,3500,ETH,USD
4945775.40058,EURBTC,1353.12637774,3641.56412617,5091,EUR,BTC
1898796.76443,EURETH,7193.61481133,264.221958488,3493,EUR,ETH
691432.094849,EURLTC,14603.2080662,47.2968629368,1479,EUR,LTC
807668.660587,EURUSD,681110.64383,1.18600115367,2193,EUR,USD
306133.328719,EURXRP,1769009.85699,0.172945058298,838,EUR,XRP
444281.498801,LTCBTC,9309.27313584,47.2709556233,417,LTC,BTC
721003.275357,LTCEUR,15268.4288125,47.1393827742,1487,LTC,EUR
2085600.05767,LTCUSD,44782.8578848,46.6431936128,2004,LTC,USD
28353906.9644,USDBTC,7832.41465239,3621.52942977,9768,USD,BTC
2951037.54574,USDETH,11281.9210582,261.884566778,4178,USD,ETH
585384.185046,USDEUR,491363.07862,1.19096186524,1217,USD,EUR
1948261.51594,USDLTC,41568.8691698,46.8414293391,1861,USD,LTC
579050.341864,USDXRP,3362925.35337,0.172078541009,1268,USD,XRP
176272.552416,XRPBTC,1034443.69624,0.170688330702,354,XRP,BTC
411844.609448,XRPEUR,2371665.18474,0.173175941545,921,XRP,EUR
827428.06515,XRPUSD,4831256.91279,0.171384554455,1212,XRP,USD
