volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
516776.124302,BTCETH,1843.85949891,280.305550581,886,BTC,ETH
4631479.46455,BTCEUR,1159.24597844,3988.52748655,2603,BTC,EUR
124440.059736,BTCLTC,2410.3383081,51.6081819779,298,BTC,LTC
25044223.0993,BTCUSD,6373.08617574,3943.32574115,6753,BTC,USD
128122.298372,BTCXRP,706208.40348,0.181235520167,311,BTC,XRP
609611.307295,ETHBTC,2177.71038104,279.918840589,943,ETH,BTC
1303690.16895,ETHEUR,4530.53450242,287.794303091,2079,ETH,EUR
2211292.1932,ETHUSD,7760.0771434,285.429690107,3356,ETH,USD
4897360.00935,EURBTC,1227.7041976,3981.70664872,3975,EUR,BTC
3437877.37576,EURETH,11880.1291753,289.013934226,2881,EUR,ETH
371976.009249,EURLTC,6991.60900588,53.2196638389,673,EUR,LTC
651812.426773,EURUSD,547584.10152,1.1905733652,1046,EUR,USD
231005.587404,EURXRP,1237734.40053,0.186884935636,531,EUR,XRP
155090.343304,LTCBTC,3016.12187459,51.5656815272,356,LTC,BTC
349336.480868,LTCEUR,6606.3905696,52.879578673,634,LTC,EUR
1875301.72874,LTCUSD,35704.347929,52.5640664318,1987,LTC,USD
20808290.4956,USDBTC,5288.55966746,3934.9299778,8107,USD,BTC
2678989.46294,USDETH,9362.88020513,286.192337438,4060,USD,ETH
498208.715596,USDEUR,417295.31973,1.19492825293,767,USD,EUR
1063428.74252,USDLTC,20267.0873956,52.5553366174,1218,USD,LTC
560762.714021,USDXRP,3029090.80177,0.184973783784,962,USD,XRP
140566.603002,XRPBTC,778793.361852,0.1807023027,321,XRP,BTC
348805.718444,XRPEUR,1880208.69514,0.185662537044,523,XRP,EUR
819566.109361,XRPUSD,4437286.50187,0.184470507614,1182,XRP,USD
