quote,base,borza,volume
USD,BTC,Bitfinex,148679000.0
BTC,ETH,Poloniex,73736800.0
EUR,BTC,Kraken,59466200.0
USD,BTC,Bitstamp,52725500.0
USDT,BTC,Poloniex,46135100.0
USD,BTC,Kraken,35633900.0
BTC,ETH,Kraken,17243200.0
BTC,XRP,Poloniex,15541700.0
BTC,ETH,Bitfinex,15401000.0
EUR,BTC,Bitstamp,9326070.0
BTC,XRP,Kraken,2643640.0
BTC,XRP,Bitstamp,1142140.0
BTC,XRP,Bitfinex,709524.0
BTC,XRP,Bitstamp (Ripple Gateway),126384.0
