borza,par,volume,price
YoBit,LSK/BTC,"$2,673,240",$3977.96
BTC-X,BTC/EUR,"$2,672,110",$4113.48
Bittrex,STORJ/BTC,"$2,584,170",$4154.58
Koinim,BTC/TRY,"$2,542,700",$4432.38
Bittrex,GBYTE/BTC,"$2,444,670",$4159.15
HitBTC,XEM/BTC,"$2,443,000",$4148.41
Luno,BTC/MYR,"$2,369,660",$4263.27
CoinsBank,BTC/GBP,"$2,296,510",$3966.22
Bittrex,NXT/BTC,"$2,288,750",$4114.66
GDAX,BTC/GBP,"$2,264,000",$4173.99
Poloniex,MAID/BTC,"$2,258,560",$4177.48
Bitfinex,ETC/BTC,"$2,165,490",$4144.33
Bittrex,QWARK/BTC,"$2,156,900",$4134.82
Bittrex,ETC/BTC,"$2,127,910",$4132.40
Gatecoin,ETH/BTC,"$2,100,390",$4126.32
Bitstamp,XRP/BTC,"$2,098,870",$4157.71
Kraken,LTC/BTC,"$2,034,330",$4156.45
Bittrex,BAT/BTC,"$1,992,380",$4135.97
Gatecoin,BTC/USD,"$1,985,140",$4164.26
Bittrex,SAFEX/BTC,"$1,848,250",$4137.90
Bitfinex,DSH/BTC,"$1,847,680",$4160.22
Gatecoin,BTC/EUR,"$1,828,760",$3996.40
Poloniex,GNT/BTC,"$1,814,380",$4158.01
Binance,LTC/BTC,"$1,812,310",$4176.90
Bitfinex,EOS/BTC,"$1,805,200",$4098.00
Bittrex,SNT/BTC,"$1,783,760",$4066.97
Kraken,XRP/BTC,"$1,743,710",$4132.98
Bittrex,LMC/BTC,"$1,743,100",$4254.69
Livecoin,BTC/USD,"$1,742,230",$4050.00
Bittrex,MTL/BTC,"$1,741,860",$4120.78
Liqui,ETH/BTC,"$1,728,960",$4126.16
HitBTC,BNT/BTC,"$1,703,180",$4147.50
Bitfinex,XMR/BTC,"$1,691,990",$4118.31
Bittrex,ZEC/BTC,"$1,680,440",$4145.02
bitFlyer,ETH/BTC,"$1,654,310",$4106.27
Bittrex,DASH/BTC,"$1,649,840",$4134.37
Exmo,BTC/USD,"$1,645,950",$4100.00
Bittrex,LBC/BTC,"$1,617,620",$4145.83
Bitfinex,ZEC/BTC,"$1,586,470",$4125.00
Poloniex,DOGE/BTC,"$1,573,490",$4186.96
HitBTC,XMR/BTC,"$1,538,610",$4100.51
Bittrex,BTS/BTC,"$1,509,910",$4075.80
Bittrex,GNT/BTC,"$1,492,480",$4176.75
BTC Alpha,BTC/USD,"$1,482,970",$4126.30
Bittrex,GAME/BTC,"$1,465,340",$4129.92
Poloniex,LBC/BTC,"$1,451,130",$4183.77
Bittrex,LSK/BTC,"$1,436,850",$3981.16
Bittrex,ABY/BTC,"$1,430,340",$4053.99
Poloniex,LSK/BTC,"$1,412,000",$4074.34
Poloniex,BCN/BTC,"$1,411,740",$4079.41
Bitfinex,XRP/BTC,"$1,330,350",$4150.15
Bittrex,DOGE/BTC,"$1,316,780",$4186.96
Bittrex,PIVX/BTC,"$1,292,690",$4134.25
Bittrex,XEL/BTC,"$1,283,880",$4201.99
BitcoinToYou,BTC/BRL,"$1,275,580",$4114.08
Bittrex,XMR/BTC,"$1,260,000",$4135.89
Poloniex,SJCX/BTC,"$1,247,770",$4137.94
CEX.IO,BTC/EUR,"$1,247,300",$4174.67
xBTCe,DASH/BTC,"$1,213,600",$4100.60
HitBTC,NXT/BTC,"$1,192,130",$4182.27
Bittrex,MAID/BTC,"$1,173,770",$4172.10
CoinExchange,PURA/BTC,"$1,167,190",$4129.94
Yuanbao,BTC/CNY,"$1,165,910",$4148.47
Bittrex,FCT/BTC,"$1,148,880",$3961.86
Poloniex,CLAM/BTC,"$1,146,610",$4122.40
Poloniex,REP/BTC,"$1,145,140",$4095.25
CEX.IO,ETH/BTC,"$1,129,730",$4158.45
Kraken,ETC/BTC,"$1,077,550",$4145.05
Poloniex,GAME/BTC,"$1,068,540",$4149.77
Bittrex,PART/BTC,"$1,060,660",$4261.87
Kraken,BTC/GBP,"$1,058,800",$4503.00
HitBTC,DCT/BTC,"$1,052,250",$4273.53
Poloniex,EMC2/BTC,"$1,050,280",$4087.10
USD X,BTC/USD,"$1,005,760",$4024.64
Poloniex,BURST/BTC,"$989,948",$4090.68
Bittrex,ADX/BTC,"$940,322",$4043.86
HitBTC,BCN/BTC,"$931,541",$4087.83
Bittrex,DCR/BTC,"$898,726",$4010.73
Bittrex,DCT/BTC,"$885,813",$4117.11
Altcoin Trader,BTC/ZAR,"$880,514",$4710.00
Bittrex,UBQ/BTC,"$879,631",$4175.30
Bittrex,FUN/BTC,"$863,495",$4119.23
HitBTC,XDN/BTC,"$853,090",$4219.72
Gatehub,XRP/BTC,"$851,063",$3022.48
Bittrex,AEON/BTC,"$844,400",$4123.75
Bittrex,XLM/BTC,"$827,173",$4301.15
Poloniex,SYS/BTC,"$812,252",$4204.80
The Rock Trading,BTC/EUR,"$811,154",$4164.66
Bittrex,XST/BTC,"$805,358",$4159.42
Exmo,BTC/RUB,"$797,023",$4171.21
Kraken,XMR/BTC,"$795,379",$4132.03
Poloniex,STEEM/BTC,"$793,178",$4340.79
LiteBit.eu,BTC/EUR,"$790,777",$4253.37
Poloniex,DCR/BTC,"$778,046",$3992.67
Novaexchange,ATCC/BTC,"$771,797",$4137.25
CoinExchange,BQX/BTC,"$754,476",$4248.33
Bittrex,MCO/BTC,"$742,932",$4150.46
HitBTC,DNT/BTC,"$741,062",$4062.54
QuadrigaCX,ETH/BTC,"$738,469",$4120.51
HitBTC,DOGE/BTC,"$722,604",$4207.00
Bittrex,PTOY/BTC,"$715,194",$4164.22
Bittrex,NMR/BTC,"$709,508",$4286.58
