volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
932031.423375,BTCETH,3303.82280551,282.234525488,1435,BTC,ETH
3242022.32071,BTCEUR,815.99198491,3972.23187469,2993,BTC,EUR
364077.912828,BTCLTC,6841.32511543,53.1436848353,443,BTC,LTC
32531359.5378,BTCUSD,8227.75140578,3954.14114793,8842,BTC,USD
145260.12881,BTCXRP,786850.664639,0.184595709946,464,BTC,XRP
1011310.3981,ETHBTC,3586.85230079,281.948853333,1507,ETH,BTC
2227101.95034,ETHEUR,7761.59358024,287.969380945,3720,ETH,EUR
3661199.52827,ETHUSD,12809.436389,286.328172163,5367,ETH,USD
4311582.63794,EURBTC,1081.86951114,3992.85696262,5570,EUR,BTC
3381028.08144,EURETH,11820.9825353,288.73957278,4063,EUR,ETH
506770.011058,EURLTC,9270.86993968,54.4191569886,1435,EUR,LTC
841912.846759,EURUSD,709270.43935,1.18721605795,1484,EUR,USD
308684.150691,EURXRP,1639412.46518,0.188911789017,736,EUR,XRP
333890.201732,LTCBTC,6289.41727552,52.9566006174,490,LTC,BTC
962591.543294,LTCEUR,17767.0513478,54.1072006713,1630,LTC,EUR
2825860.11171,LTCUSD,52326.6327922,54.2625758495,3296,LTC,USD
27877497.881,USDBTC,7052.50032894,3956.32778901,10977,USD,BTC
3174282.59835,USDETH,11079.7610475,286.950367574,5033,USD,ETH
802769.741292,USDEUR,674103.81558,1.19099828364,1241,USD,EUR
2042301.39062,USDLTC,37943.6069895,54.1105946735,2741,USD,LTC
828113.028923,USDXRP,4428600.54995,0.187456289414,1776,USD,XRP
170925.889357,XRPBTC,928441.729567,0.184176673703,432,XRP,BTC
408785.204025,XRPEUR,2173828.77856,0.187990846723,901,XRP,EUR
956858.037909,XRPUSD,5119678.03151,0.187126887073,1346,XRP,USD
