volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
580569.636593,BTCETH,1899.25466361,305.70190795,995,BTC,ETH
1993053.13657,BTCEUR,468.70718321,4257.75584734,1501,BTC,EUR
97122.8793604,BTCLTC,1748.8726177,55.6096998229,138,BTC,LTC
13506928.5931,BTCUSD,3156.86222774,4273.5480372,4193,BTC,USD
122070.113545,BTCXRP,598574.4394,0.204400963018,367,BTC,XRP
494613.88502,ETHBTC,1620.15685063,305.339486198,917,ETH,BTC
1107329.38483,ETHEUR,3708.43077663,299.582387482,2021,ETH,EUR
1768056.74893,ETHUSD,5930.36335965,299.708912685,1821,ETH,USD
2904226.56204,EURBTC,680.15421993,4275.78350915,3597,EUR,BTC
1657259.52933,EURETH,5593.70206673,298.404107657,2568,EUR,ETH
334986.297162,EURLTC,6120.60858725,54.7029621803,899,EUR,LTC
386798.291371,EURUSD,326796.46982,1.18342781609,696,EUR,USD
151846.368021,EURXRP,755350.417378,0.200879239766,431,EUR,XRP
75041.2789715,LTCBTC,1347.62417048,55.7083424683,77,LTC,BTC
156315.421394,LTCEUR,2858.68560987,54.5868338535,347,LTC,EUR
454129.49664,LTCUSD,8285.87727273,54.6472996516,574,LTC,USD
18592627.5212,USDBTC,4345.95480645,4275.33204712,6961,USD,BTC
1826152.38935,USDETH,6124.03467461,299.582486837,2469,USD,ETH
257441.264884,USDEUR,216873.5148,1.18650331445,353,USD,EUR
474261.381699,USDLTC,8670.37810387,54.6434334764,932,USD,LTC
661494.548368,USDXRP,3287847.78511,0.201157539315,1081,USD,XRP
157274.380542,XRPBTC,775684.046424,0.203116407615,366,XRP,BTC
244278.546165,XRPEUR,1222061.16694,0.199608543914,513,XRP,EUR
1187354.92878,XRPUSD,5916506.55883,0.200608394223,1177,XRP,USD
