volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
336443.763413,BTCETH,1154.3444653,291.218426216,541,BTC,ETH
2310152.65515,BTCEUR,543.64102454,4249.43462565,1988,BTC,EUR
124116.376793,BTCLTC,2409.89560256,51.5208369846,191,BTC,LTC
16872766.6569,BTCUSD,3985.99209829,4234.27491168,5265,BTC,USD
524541.108993,BTCXRP,2491005.28484,0.209936012906,815,BTC,XRP
421588.619811,ETHBTC,1441.16611818,291.621870198,495,ETH,BTC
541232.597387,ETHEUR,1844.70555426,293.450943935,898,ETH,EUR
751324.595396,ETHUSD,2574.06534677,291.979749164,1196,ETH,USD
3114071.82065,EURBTC,731.56520407,4253.3836387,4076,EUR,BTC
832666.967521,EURETH,2835.08692425,293.9656045,1202,EUR,ETH
199014.884789,EURLTC,3854.55389589,52.000575735,393,EUR,LTC
314298.45072,EURUSD,267952.79948,1.17272848153,731,EUR,USD
612556.735129,EURXRP,2918727.77707,0.210292801562,1452,EUR,XRP
159710.433896,LTCBTC,3094.77471346,51.6249080163,293,LTC,BTC
219609.436949,LTCEUR,4219.54966255,52.0392910029,596,LTC,EUR
539694.007824,LTCUSD,10453.5704035,51.5858389262,447,LTC,USD
19093135.6286,USDBTC,4509.30988863,4233.1690819,10489,USD,BTC
728329.525287,USDETH,2491.28141803,292.507272013,1272,USD,ETH
201466.734338,USDEUR,171200.84618,1.17517207612,289,USD,EUR
265521.178357,USDLTC,5131.33191718,51.7169161677,334,USD,LTC
1460801.2319,USDXRP,6983090.9693,0.209483911548,2035,USD,XRP
569322.711262,XRPBTC,2694417.99136,0.211371638918,862,XRP,BTC
487914.284838,XRPEUR,2312141.74076,0.210566438191,886,XRP,EUR
1315175.47163,XRPUSD,6320754.41622,0.208495042433,1414,XRP,USD
