"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xcb14b814c820fa91dacbf18e7e0788052be6f3fbb7bc338aaf58ed033ee5ca80","3971265","1499143558","7/4/2017 4:45:58 AM","0x0000000000000000000000000000000000000000","0x023ddd063a8a798455b40c46d42d0daf68fce390","86.1624"
"0x99863af633835940106928569d7290dee537773752ba1c6839a267286f837b47","3971263","1499143525","7/4/2017 4:45:25 AM","0x0000000000000000000000000000000000000000","0x79b87f8a4c08ed1a071baf4269bf26af71e88ea8","477.72264"
"0xa4f9878282d1d335d545a67a80c46d83edf1118f0de34dd2bd0699deb4c29418","3971262","1499143474","7/4/2017 4:44:34 AM","0x0000000000000000000000000000000000000000","0x8e5521e59ca4ffdd767e91b2c41dab8415c3aca0","478.68"
"0xbeabc975929b2a03ffca2e0495acb58f490a1e6554a5b7763330c42a271a36a9","3971254","1499143364","7/4/2017 4:42:44 AM","0x0000000000000000000000000000000000000000","0xc67d1a399ded0636bf9b3f53e1f850cdd38bd746","173.5310640264"
"0x9e43d5bc00a2c4f4a47d6e6391babcacaf39a385d2fa34bb9e003b5732b92488","3971252","1499143314","7/4/2017 4:41:54 AM","0x0000000000000000000000000000000000000000","0x93df4acfe1330320d9f0de2dd5eaf82a3ce5860a","957.36"
"0x9443354bfae346451eeab15f78226e95cb929c5b58520d0ea3bb911496900cd1","3971243","1499143173","7/4/2017 4:39:33 AM","0x0000000000000000000000000000000000000000","0xf014775448b2a14e0556fa267be3f260ab360902","43081.2"
"0x1d3536dc2a21ff75e12bd1bfe7090e754f5fce4a22001bd0f87bda342f084520","3971233","1499143022","7/4/2017 4:37:02 AM","0x0000000000000000000000000000000000000000","0xa1036fe54d6c4b71afd7f94c7547d0f1a11a8bfa","1950.14232"
"0x5aec898921b7e2d4aeca928130c80c47f60d24e50fbb61780ac7697c385a06a1","3971233","1499143022","7/4/2017 4:37:02 AM","0x0000000000000000000000000000000000000000","0xcf869b8f5159089b926a6ba4e162a7e935696d23","2216.2884"
"0xf62c9572050ac6b2fc1385f74206534faa34dc9011f24b64ac342faa423aa97f","3971229","1499142947","7/4/2017 4:35:47 AM","0x0000000000000000000000000000000000000000","0xdf3c870b19688745aca64f923762291d4c6a207a","38.2944"
"0xa5d091ae4a78c134f33853cea145a96f269a69d53dc4ab0efff5ac3e2f23ee18","3971224","1499142829","7/4/2017 4:33:49 AM","0x0000000000000000000000000000000000000000","0x3df9d9749a65d24bc78931264d06f900fbfd6d10","478.68"
"0x06a16aec8bf2a96e727c1bd73b6cb7f7419d975be5242e360cb976b1c1620315","3971222","1499142793","7/4/2017 4:33:13 AM","0x0000000000000000000000000000000000000000","0x244de0468620cb10c0a240a0a8cdb07478588385","478.68"
"0xb5be7c7d6877821b0a4299eae4248a8ecfb8fce6eec2acd3e7666e404739174c","3971218","1499142718","7/4/2017 4:31:58 AM","0x0000000000000000000000000000000000000000","0xef6961c5d24fbea2529b027df5b35bde56c0cf52","2393.4"
"0xa21108b9093417fddd13afd14aadb7102eaf93c35a084add0de2adacc66ec893","3971215","1499142686","7/4/2017 4:31:26 AM","0x0000000000000000000000000000000000000000","0x2a39f1d178881d14cdf2ca5d40bc447c9d1e9d7e","43.0812"
"0xbcdd6f7e4b3c0ebde8ec48fcb4795c78f214daf4315f1287f35481943b32dc87","3971214","1499142679","7/4/2017 4:31:19 AM","0x0000000000000000000000000000000000000000","0x35ab074ab352f9857a6ec386029665f54c7b0df8","478.68"
"0xc4290cb1faef754e0eabcc95f4f0f2e7aaee08c47607fd510c1a77fa12768790","3971214","1499142679","7/4/2017 4:31:19 AM","0x0000000000000000000000000000000000000000","0x41e066a3dfd1e7f6256d469e2cce042655ae641a","95736"
"0x2e1064dd1edf17c1fb821b6d828b4e00052abb1d1faf9805beacdff0a4024760","3971203","1499142553","7/4/2017 4:29:13 AM","0x0000000000000000000000000000000000000000","0x7b35aa8d3b2ff17cf1292d0a428e539e564c4ac1","957.36"
"0x2604ed973174b463fb13db5b950b681e5d76f6a4dac17fcc890ce6c1ac86771b","3971202","1499142546","7/4/2017 4:29:06 AM","0x0000000000000000000000000000000000000000","0x0a9ef5aa73b8ffd6b8ba559aea91dc36c90f1426","1436.04"
"0x6c3c0983b24e0d8e63bcdfce340e46dae5b94afa0bec80bde37f43d269c75798","3971202","1499142546","7/4/2017 4:29:06 AM","0x0000000000000000000000000000000000000000","0x1aea23132af034e09e9ffa9fa54671dbadc409ea","134.0304"
"0xa982e70e140759307d5e81a2df1028a8a0b0a6e1e3cdd2c2d769fc261773c749","3971200","1499142472","7/4/2017 4:27:52 AM","0x0000000000000000000000000000000000000000","0xf61eee142fe4bc66957f23bf024454a9f1e54351","4786.8"
"0x14230b20b3e9b43d8adffdc1c5921fdb336fa94dc47862b267c6a9ae38eb40d1","3971193","1499142271","7/4/2017 4:24:31 AM","0x0000000000000000000000000000000000000000","0x0fdd1b215883eddaa73c84e102befa2de2d6f557","469.1064"
"0x6648ad81c3335af2bd910f450b4612d903976a1b4934bc211678756945d97c52","3971191","1499142232","7/4/2017 4:23:52 AM","0x0000000000000000000000000000000000000000","0xf0cd7de8234fde1a2c175862728ccfb49db2a792","746.7408"
"0x578f9c5b44971ad14bc7d2d34cf999b0b0fc84bf7f98a9576e7f13383dd583f7","3971188","1499142172","7/4/2017 4:22:52 AM","0x0000000000000000000000000000000000000000","0x45797c6576e24f270ad32dda2957d498b7136cce","416.4516"
"0x41948a578351136021c091e9b39ff854fce8c934058d132aa041ea28ea120649","3971188","1499142172","7/4/2017 4:22:52 AM","0x0000000000000000000000000000000000000000","0x948b15e038ea3e9852f030589796494b6b511ae9","1914.72"
"0xfec225c2e571a7aab3a2f7a26a0ad58728246fac380dd41e04af0fbaae8aacec","3971178","1499142029","7/4/2017 4:20:29 AM","0x0000000000000000000000000000000000000000","0x8a92b9190d19d7b5577e90e7917f87536eb65389","1914.72"
