borza,par,volume,price
Bittrex,XVG/BTC,"$1,191,280",$4522.20
Bit-Z,FCT/BTC,"$1,190,240",$4509.74
Exmo,BTC/RUB,"$1,188,650",$4144.75
Allcoin,QTUM/BTC,"$1,183,750",$4579.87
Bittrex,DGB/BTC,"$1,167,060",$4558.98
Liqui,SALT/BTC,"$1,166,150",$4517.57
CoinExchange,REC/BTC,"$1,140,680",$4513.45
BX Thailand,BTC/THB,"$1,131,160",$4460.45
Bit-Z,LSK/BTC,"$1,117,170",$4586.74
Bitfinex,DSH/BTC,"$1,112,730",$4505.36
Binance,STRAT/BTC,"$1,110,170",$4511.27
GDAX,LTC/BTC,"$1,108,230",$4518.58
Binance,BCC/BTC,"$1,107,460",$4534.12
Coinfloor,BTC/GBP,"$1,100,640",$4484.08
Bittrex,XEM/BTC,"$1,082,790",$4972.53
Bittrex,EMC2/BTC,"$1,069,210",$4451.34
LakeBTC,BTC/GBP,"$1,067,720",$4715.22
Poloniex,DGB/BTC,"$1,065,040",$4527.54
QuadrigaCX,BTC/CAD,"$1,057,890",$4542.37
Tidex,LTC/BTC,"$1,054,070",$4510.34
Bittrex,TRIG/BTC,"$1,034,330",$4545.27
LakeBTC,BTC/EUR,"$1,034,040",$4612.14
Binance,SNM/BTC,"$1,006,940",$4568.34
HitBTC,BCN/BTC,"$1,004,200",$4501.20
xBTCe,BTC/USD,"$999,890",$4524.80
Poloniex,LSK/BTC,"$990,947",$4586.74
Bittrex,FLO/BTC,"$990,651",$4494.13
Bit-Z,ETC/BTC,"$989,779",$4545.56
Kraken,BCH/BTC,"$988,487",$4534.64
Bitstamp,XRP/BTC,"$957,742",$4515.91
Bittrex,GBYTE/BTC,"$955,128",$4519.39
BTC-Alpha,BTC/USD,"$920,193",$4530.00
Bittrex,WAVES/BTC,"$920,119",$4577.09
Bittrex,VTC/BTC,"$913,902",$4524.74
Bittrex,GAME/BTC,"$896,348",$4516.76
AidosMarket,ADK/BTC,"$888,366",$4470.48
Binance,KNC/BTC,"$882,946",$4547.28
Livecoin,DASH/BTC,"$882,448",$4451.61
Bit-Z,ZEC/BTC,"$875,975",$4508.61
BitMarket,BTC/PLN,"$875,972",$4490.40
Bitfinex,ZEC/BTC,"$874,456",$4526.53
Bitcoin Indonesia,STR/BTC,"$873,896",$4333.18
Coinroom,BTC/PLN,"$872,638",$4430.44
Novaexchange,ATCC/BTC,"$871,509",$4517.90
Kraken,XLM/BTC,"$849,321",$4313.30
Bittrex,CVC/BTC,"$841,477",$4526.82
HitBTC,ETC/BTC,"$840,287",$4523.15
Bittrex,GNT/BTC,"$802,883",$4510.25
Bittrex,EDG/BTC,"$798,952",$4515.72
Binance,GAS/BTC,"$780,171",$4511.53
