borza,par,volume,price
BitBays,BTC/USD,"$2,622,850",$4279.92
Bittrex,NXT/BTC,"$2,547,300",$4329.50
QuadrigaCX,BTC/CAD,"$2,535,420",$4446.64
HitBTC,XEM/BTC,"$2,506,330",$4213.27
Liqui,DNT/BTC,"$2,278,030",$4181.29
Bittrex,SNT/BTC,"$2,269,380",$4287.57
BX Thailand,BTC/THB,"$2,250,240",$4421.76
Poloniex,ZEC/BTC,"$2,247,280",$4291.12
Mercado Bitcoin,BTC/BRL,"$2,219,390",$4649.27
Binance,LTC/BTC,"$2,166,430",$4283.92
YoBit,LSK/BTC,"$2,144,450",$4068.27
BTC38,BTC/CNY,"$2,134,810",$4282.14
BTCTurk,BTC/TRY,"$2,057,130",$4543.63
Bitfinex,EOS/BTC,"$1,955,830",$4261.13
Bittrex,DASH/BTC,"$1,900,640",$4243.32
Bittrex,LBC/BTC,"$1,884,520",$4365.40
GDAX,LTC/BTC,"$1,856,410",$4287.97
Bittrex,ZEC/BTC,"$1,816,190",$4273.10
Bittrex,XVG/BTC,"$1,806,470",$4276.57
CoinExchange,PURA/BTC,"$1,795,070",$4268.38
Poloniex,RADS/BTC,"$1,778,280",$4284.04
Bittrex,ADX/BTC,"$1,777,000",$4380.04
Poloniex,GNT/BTC,"$1,774,520",$4334.23
Poloniex,LSK/BTC,"$1,766,660",$4190.63
CoinsBank,BTC/GBP,"$1,735,940",$4209.77
Bittrex,PART/BTC,"$1,726,680",$4384.22
Bittrex,LSK/BTC,"$1,723,580",$4071.84
Bittrex,GNT/BTC,"$1,682,360",$4324.04
Koinim,BTC/TRY,"$1,682,160",$4508.97
Bittrex,GBYTE/BTC,"$1,606,390",$4291.97
GDAX,BTC/GBP,"$1,591,770",$4312.39
HitBTC,BNT/BTC,"$1,585,780",$4345.65
BTC Markets,BTC/AUD,"$1,576,310",$4390.18
Bittrex,BTS/BTC,"$1,571,500",$4229.92
Bittrex,NXS/BTC,"$1,570,070",$4297.14
Bittrex,MCO/BTC,"$1,554,290",$4289.55
Bitfinex,XMR/BTC,"$1,505,690",$4265.55
Bittrex,XMR/BTC,"$1,502,490",$4302.62
Bittrex,EDG/BTC,"$1,490,080",$4269.44
Poloniex,LBC/BTC,"$1,484,300",$4217.31
Luno,BTC/MYR,"$1,414,580",$4367.06
Bitfinex,ETC/BTC,"$1,410,360",$4274.73
bitFlyer,ETH/BTC,"$1,409,350",$4364.76
Bittrex,LUN/BTC,"$1,386,040",$4329.60
Bittrex,RADS/BTC,"$1,384,300",$4361.66
HitBTC,NXT/BTC,"$1,329,160",$4222.48
Poloniex,SYS/BTC,"$1,326,210",$4335.42
Bitfinex,DSH/BTC,"$1,324,310",$4283.18
HitBTC,XMR/BTC,"$1,293,190",$4275.05
Bittrex,FUN/BTC,"$1,289,450",$4193.54
Poloniex,MAID/BTC,"$1,279,250",$4302.92
Bittrex,FCT/BTC,"$1,267,800",$4261.15
Bittrex,BRX/BTC,"$1,265,820",$4410.50
Bittrex,SAFEX/BTC,"$1,219,420",$4198.75
Poloniex,GAME/BTC,"$1,199,670",$4191.48
Bittrex,DCT/BTC,"$1,184,440",$4265.11
Bittrex,GAME/BTC,"$1,161,060",$4151.78
xBTCe,DASH/BTC,"$1,143,020",$4217.28
Bitstamp,XRP/BTC,"$1,142,140",$4298.54
Bittrex,BNT/BTC,"$1,137,900",$4262.02
HitBTC,DCT/BTC,"$1,121,280",$3873.76
Bittrex,SEQ/BTC,"$1,102,660",$4222.62
Poloniex,EMC2/BTC,"$1,101,880",$4317.93
CEX.IO,ETH/BTC,"$1,086,700",$4276.51
USD X,BTC/USD,"$1,071,210",$4186.49
BTC Alpha,BTC/USD,"$1,069,650",$4257.00
Bittrex,CFI/BTC,"$1,041,230",$4255.79
QuadrigaCX,ETH/BTC,"$1,030,490",$4292.63
Livecoin,FRST/BTC,"$1,022,200",$4277.34
Exmo,BTC/USD,"$1,019,220",$4210.00
Bittrex,PTOY/BTC,"$996,681",$4270.56
Bittrex,SYS/BTC,"$992,047",$4293.64
Liqui,ETH/BTC,"$968,310",$4236.25
Poloniex,DOGE/BTC,"$950,448",$4452.57
HitBTC,XDN/BTC,"$949,578",$4590.87
CoinExchange,BQX/BTC,"$943,014",$4227.73
Bitfinex,ZEC/BTC,"$938,323",$4282.09
Poloniex,BCN/BTC,"$923,462",$4096.88
Bittrex,KMD/BTC,"$879,420",$4279.15
Kraken,ETC/BTC,"$865,377",$4306.96
Poloniex,DCR/BTC,"$825,569",$4298.17
Bittrex,RDD/BTC,"$815,210",$4277.82
Bittrex,PIVX/BTC,"$808,982",$4287.24
Bittrex,DCR/BTC,"$806,398",$4248.81
Bittrex,UBQ/BTC,"$803,896",$4394.71
Bittrex,GEO/BTC,"$787,254",$4277.58
Yuanbao,BTC/CNY,"$774,666",$4288.01
Bittrex,NMR/BTC,"$768,874",$4267.46
Poloniex,ARDR/BTC,"$754,538",$4341.92
Exmo,ETH/BTC,"$753,889",$4285.20
HitBTC,BCN/BTC,"$745,752",$4231.76
Kraken,XMR/BTC,"$743,717",$4276.20
BitcoinToYou,BTC/BRL,"$722,922",$4429.68
Bitfinex,XRP/BTC,"$709,524",$4295.27
The Rock Trading,BTC/EUR,"$696,078",$4302.85
Poloniex,STEEM/BTC,"$693,927",$4239.79
Kraken,BTC/GBP,"$688,236",$4400.77
Bittrex,ARDR/BTC,"$681,077",$4288.89
Liqui,MGO/BTC,"$669,403",$4267.68
LiteBit.eu,BTC/EUR,"$663,280",$4372.63
Bittrex,XLM/BTC,"$657,080",$4731.67
Liqui,BAT/BTC,"$635,574",$4317.60
YoBit,WAVES/BTC,"$631,296",$4304.15
Bittrex,STEEM/BTC,"$627,512",$4244.94
CEX.IO,BTC/EUR,"$614,706",$4340.00
Altcoin Trader,BTC/ZAR,"$607,231",$4851.16
Poloniex,XBC/BTC,"$601,965",$4276.82
Kraken,EOS/BTC,"$597,072",$4267.71
