volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
3041929.5041,BTCETH,11875.4413841,256.093874068,4512,BTC,ETH
18215086.8838,BTCEUR,5342.32198368,3439.81050866,13944,BTC,EUR
2088408.7242,BTCLTC,41510.934378,50.0621148381,2453,BTC,LTC
98621206.857,BTCUSD,29445.040215,3403.61736705,31402,BTC,USD
600383.411017,BTCXRP,3148915.65226,0.190292723783,1501,BTC,XRP
3637077.91641,ETHBTC,14200.4084705,255.78721032,5293,ETH,BTC
8943860.4801,ETHEUR,37490.9657521,242.293614588,11154,ETH,EUR
10215108.3129,ETHUSD,43174.5409954,237.717643002,13339,ETH,USD
22115964.5152,EURBTC,6358.56050946,3490.04905252,19832,EUR,BTC
8433275.76011,EURETH,35727.3753138,239.860314108,10476,EUR,ETH
3216867.49047,EURLTC,68318.0572135,48.1499193785,6724,EUR,LTC
3215242.81655,EURUSD,2726017.50156,1.18058551583,7803,EUR,USD
2011178.34727,EURXRP,11513961.0343,0.177247167445,3978,EUR,XRP
2113914.29655,LTCBTC,42050.1794294,50.5787889179,2284,LTC,BTC
3951617.70533,LTCEUR,83740.6228556,47.5820587225,7361,LTC,EUR
11228190.832,LTCUSD,243027.511053,46.6456826998,10312,LTC,USD
104536798.6,USDBTC,30829.4335428,3418.13403004,37481,USD,BTC
12404098.4468,USDETH,52918.6046302,237.541669048,13996,USD,ETH
2444850.87443,USDEUR,2065832.45383,1.18363017965,6123,USD,EUR
7964276.00078,USDLTC,169456.411478,47.4681753731,8040,USD,LTC
4386634.12942,USDXRP,25416268.6031,0.17535668959,6398,USD,XRP
759192.966838,XRPBTC,4019627.82752,0.188364930582,1585,XRP,BTC
2115255.24131,XRPEUR,12143024.171,0.175447105104,4049,XRP,EUR
3839494.71142,XRPUSD,22340289.1178,0.174193135135,4995,XRP,USD
