volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
537277.282513,BTCETH,1786.21184909,301.590061332,403,BTC,ETH
3196052.6952,BTCEUR,738.16621755,4336.26137037,2191,BTC,EUR
148924.933552,BTCLTC,2852.90238498,52.2328654585,223,BTC,LTC
17898201.0804,BTCUSD,4103.59369421,4366.30999818,5484,BTC,USD
353520.928543,BTCXRP,1480461.12249,0.238625489475,739,BTC,XRP
210525.368437,ETHBTC,701.31175767,300.815274643,326,ETH,BTC
766578.339197,ETHEUR,2575.68994388,297.677419359,1109,ETH,EUR
1328500.97629,ETHUSD,4423.2221281,300.51442041,1803,ETH,USD
2715897.23139,EURBTC,623.89375113,4350.74872393,3734,EUR,BTC
2292034.40258,EURETH,7676.40712669,298.793984948,2988,EUR,ETH
231351.628086,EURLTC,4447.81220853,52.0321266739,543,EUR,LTC
230591.595741,EURUSD,196242.44235,1.17589892768,401,EUR,USD
614130.192626,EURXRP,2591959.53652,0.237180244154,1380,EUR,XRP
41452.8715461,LTCBTC,794.52818745,52.1661864121,81,LTC,BTC
238542.698053,LTCEUR,4585.72280241,51.9330932572,439,LTC,EUR
346287.448323,LTCUSD,6639.7657905,52.1540720222,361,LTC,USD
18643787.8738,USDBTC,4271.22531223,4366.43686351,8213,USD,BTC
2087406.99277,USDETH,6950.55142262,300.842056527,2689,USD,ETH
541119.463168,USDEUR,458484.34787,1.18059044257,949,USD,EUR
248179.974423,USDLTC,4752.92598586,52.2444561404,285,USD,LTC
1751690.2328,USDXRP,7346537.99998,0.238331261176,2125,USD,XRP
406358.081056,XRPBTC,1706849.5375,0.238211939551,445,XRP,BTC
608001.235425,XRPEUR,2573837.60641,0.236143876278,1197,XRP,EUR
1562767.25573,XRPUSD,6571681.77875,0.237801849512,1741,XRP,USD
